,weekly wins,races,average,median,forfeits,blanks,sarias,multizl,bit,lacs,synergy
Titou,1,69,1:14:23,1:14:07,5,1,8,7,3,15,73.29931972789116
Nalle,0,40,1:18:44,1:18:10,7,3,5,3,4,4,65.47619047619048
PaintSkate8,0,8,1:27:56,1:26:00,0,3,0,0,0,1,88.57142857142858
Cabbage72,0,67,1:35:16,1:34:38,4,4,10,6,3,10,73.78934624697337
Timato,0,5,1:11:39,1:12:50,0,1,1,1,0,0,78.57142857142857
Link11,0,40,1:20:32,1:19:14,2,0,5,7,2,4,70.95864661654136
juwk,2,26,1:08:39,1:08:02,0,1,2,3,1,2,83.42857142857143
blinkzy,0,31,1:22:40,1:21:57,0,26,2,1,0,0,55.00000000000001
CoffeePot,0,47,1:37:13,1:36:42,0,0,11,5,3,7,74.08814589665653
Challensois_,0,101,1:22:55,1:21:21,29,2,10,13,9,11,70.45918367346938
FantaTanked,0,29,1:13:26,1:11:20,4,0,6,2,2,4,67.0
noface099,0,50,1:40:55,1:39:02,17,5,7,3,3,6,78.06122448979592
TheCowness,0,4,2:54:39,2:54:39,2,2,0,0,0,0,
haktical,0,4,2:27:50,2:27:50,2,0,1,1,0,1,73.21428571428571
moosecrap,0,11,1:44:06,1:44:56,0,0,5,1,0,1,67.20779220779221
Photon,0,22,1:44:45,1:44:30,1,2,3,1,1,3,74.24812030075188
khuno,0,8,2:14:49,2:06:29,2,5,1,0,0,0,89.28571428571429
tob3000,5,12,1:09:52,1:05:53,0,0,2,0,1,1,68.75
LiterallyLake,0,22,1:15:59,1:15:15,2,0,4,2,1,0,76.96428571428572
2DollarGargoyle,1,10,1:15:48,1:15:36,0,0,1,3,0,2,81.07142857142857
the__consultant,0,63,1:18:03,1:16:25,10,2,5,11,2,12,75.98039215686273
Exodus,1,14,1:11:08,1:11:39,0,0,1,3,0,6,65.81632653061223
Fenyan,0,17,1:20:27,1:18:21,0,2,4,1,0,1,66.42857142857143
adef,0,14,1:31:42,1:30:58,0,0,1,1,0,2,67.60204081632652
Countdown,0,34,1:36:13,1:34:33,8,0,0,4,1,3,74.72527472527473
triforce3250,0,42,1:24:27,1:23:08,0,0,5,3,5,3,73.46938775510205
MatttInTheHat,0,28,1:26:16,1:25:23,1,1,8,1,2,1,69.36813186813187
WickedGligar,1,106,1:20:05,1:19:15,14,2,12,17,2,10,74.36507936507937
Runnerguy2489,0,9,1:18:26,1:15:47,0,0,0,0,0,0,80.15873015873015
jenslang,1,37,1:19:03,1:17:55,0,0,6,2,2,5,75.0
shiroaeli,0,8,1:45:37,1:43:35,1,0,1,1,0,3,53.57142857142857
Alaris,0,2,1:52:27,1:52:27,0,0,0,0,0,0,50.0
thags15,0,1,nan,nan,1,0,0,0,0,0,
ClydePowers,0,38,2:09:25,2:00:29,13,16,3,1,0,2,63.0952380952381
MutantAura,1,48,1:18:59,1:18:03,0,1,4,4,1,4,77.05167173252279
Myelin,0,10,1:47:58,1:47:03,2,0,2,1,1,1,75.44642857142857
neefe,0,21,1:27:51,1:27:27,1,0,8,6,2,1,70.71428571428572
dotzo,0,6,1:21:47,1:19:35,0,2,1,0,0,0,80.35714285714286
Tashman91,0,4,1:36:33,1:35:23,0,0,1,1,0,2,33.92857142857143
Xanra,0,3,1:24:27,1:24:37,0,0,2,1,0,0,51.1904761904762
LadyLambdadeltasDandruff,0,1,1:31:04,1:31:04,0,0,0,0,0,0,100.0
The corpser,0,7,2:06:58,2:05:50,4,0,2,1,0,0,57.14285714285714
MooseOoT,1,18,1:16:30,1:16:59,7,0,0,0,0,0,83.44155844155844
Apasher,0,9,1:28:18,1:26:02,2,0,5,2,0,1,65.3061224489796
Grego,0,25,1:37:15,1:34:20,5,0,4,5,1,6,74.46428571428572
AverageGreg,0,19,1:17:44,1:18:16,0,1,3,2,1,2,84.92063492063492
Gombill,0,4,1:25:34,1:24:20,0,1,1,0,0,0,75.0
Bou_Frost,0,10,1:34:15,1:32:34,0,0,4,1,0,1,76.07142857142858
Midboss,0,6,1:35:37,1:36:11,0,0,0,0,1,0,54.761904761904766
benstephens56,0,17,1:42:54,1:41:42,0,3,3,2,0,0,75.25510204081634
PsyMarth,0,9,1:33:20,1:32:02,0,0,1,0,0,0,75.0
Darker,0,6,2:13:45,2:08:15,0,0,1,1,1,0,66.07142857142857
Glasfolie,0,6,2:22:39,2:18:44,1,4,0,0,0,1,53.57142857142857
JFM2796,0,11,1:20:49,1:21:57,3,0,2,2,1,2,72.32142857142857
shaggy,0,7,1:41:47,1:45:38,0,0,2,0,0,2,58.16326530612245
Cloudike,0,18,1:38:18,1:34:21,2,2,6,3,0,1,64.54081632653062
Savestate,0,9,2:35:18,2:37:04,1,1,0,0,0,0,64.28571428571429
Cisco64,0,5,1:55:02,1:55:59,0,0,2,1,0,0,40.714285714285715
gamestabled,0,8,1:46:42,1:45:16,0,1,3,1,0,1,67.85714285714286
Aksannyi,0,1,nan,nan,1,0,0,0,0,0,
Juchemao17,0,1,1:59:46,1:59:46,0,0,0,0,0,0,64.28571428571429
Condor,0,1,1:45:46,1:45:46,0,0,0,0,0,0,53.57142857142857
Woli,0,4,1:33:05,1:34:08,1,0,0,1,1,2,96.42857142857143
